# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 4.47575700e-03
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0355          	4.69334795e-02	-6.31134867e-21	-1.02759930e-01	-4.20751136e-21	-4.26220253e-03	-6.99716637e-23	2.34667397e-02	2.34667397e-02	-3.22564600e-21	-3.08570267e-21	-5.56421676e-02	-4.71177625e-02
0.036           	4.69322454e-02	-6.30730108e-21	-1.02538668e-01	-4.20631713e-21	-4.24191304e-03	-7.00279886e-23	2.34661227e-02	2.34661227e-02	-3.22367853e-21	-3.08362255e-21	-5.55112470e-02	-4.70274209e-02
0.0365          	4.69310394e-02	-6.30376255e-21	-1.02346137e-01	-4.20525095e-21	-4.22148530e-03	-7.00750610e-23	2.34655197e-02	2.34655197e-02	-3.22195633e-21	-3.08180621e-21	-5.53945540e-02	-4.69515834e-02
0.037           	4.69297552e-02	-6.29729320e-21	-1.02005944e-01	-4.20337701e-21	-4.20070889e-03	-7.01627940e-23	2.34648776e-02	2.34648776e-02	-3.21880939e-21	-3.07848381e-21	-5.52036807e-02	-4.68022629e-02
0.0375          	4.69285829e-02	-6.29464499e-21	-1.01746852e-01	-4.20373647e-21	-4.17957657e-03	-7.02794977e-23	2.34642914e-02	2.34642914e-02	-3.21760199e-21	-3.07704300e-21	-5.50530024e-02	-4.66938493e-02
0.038           	4.69273349e-02	-6.28496622e-21	-1.01475564e-01	-4.19850555e-21	-4.15819274e-03	-7.02430022e-23	2.34636675e-02	2.34636675e-02	-3.21272611e-21	-3.07224011e-21	-5.48959750e-02	-4.65795895e-02
0.0385          	4.69257568e-02	-6.27738069e-21	-1.01135265e-01	-4.19574280e-21	-4.13653306e-03	-7.03056249e-23	2.34628784e-02	2.34628784e-02	-3.20899597e-21	-3.06838472e-21	-5.47041653e-02	-4.64310992e-02
0.039           	4.69240180e-02	-6.27201543e-21	-1.00899008e-01	-4.19366189e-21	-4.11465458e-03	-7.03434843e-23	2.34620090e-02	2.34620090e-02	-3.20635120e-21	-3.06566423e-21	-5.45641587e-02	-4.63348496e-02
0.0395          	4.69226159e-02	-6.26512818e-21	-1.00618686e-01	-4.19079675e-21	-4.09266918e-03	-7.03786799e-23	2.34613080e-02	2.34613080e-02	-3.20294277e-21	-3.06218541e-21	-5.44020121e-02	-4.62166737e-02
0.04            	4.69214564e-02	-6.26235533e-21	-1.00334323e-01	-4.19135226e-21	-4.07051484e-03	-7.05114001e-23	2.34607282e-02	2.34607282e-02	-3.20168907e-21	-3.06066627e-21	-5.42376766e-02	-4.60966469e-02
0.0405          	4.69202341e-02	-6.25502817e-21	-9.99082564e-02	-4.18969095e-21	-4.04797812e-03	-7.06423671e-23	2.34601170e-02	2.34601170e-02	-3.19815645e-21	-3.05687172e-21	-5.40021063e-02	-4.59061501e-02
0.041           	4.69190163e-02	-6.24948332e-21	-9.96620490e-02	-4.18759757e-21	-4.02513884e-03	-7.06847212e-23	2.34595082e-02	2.34595082e-02	-3.19542638e-21	-3.05405694e-21	-5.38561634e-02	-4.58058857e-02
0.0415          	4.69178649e-02	-6.24293332e-21	-9.92982957e-02	-4.18590105e-21	-4.00218186e-03	-7.07881142e-23	2.34589325e-02	2.34589325e-02	-3.19225477e-21	-3.05067854e-21	-5.36513297e-02	-4.56469660e-02
0.042           	4.69168931e-02	-6.23699714e-21	-9.89501863e-02	-4.18453822e-21	-3.97891874e-03	-7.08946636e-23	2.34584466e-02	2.34584466e-02	-3.18939323e-21	-3.04760391e-21	-5.34540119e-02	-4.54961744e-02
0.0425          	4.69156644e-02	-6.22744211e-21	-9.87123149e-02	-4.17912868e-21	-3.95552505e-03	-7.08394233e-23	2.34578322e-02	2.34578322e-02	-3.18456048e-21	-3.04288163e-21	-5.33116825e-02	-4.54006324e-02
0.043           	4.69142219e-02	-6.21765946e-21	-9.82603519e-02	-4.17574023e-21	-3.93207580e-03	-7.09331389e-23	2.34571110e-02	2.34571110e-02	-3.17976287e-21	-3.03789659e-21	-5.30622517e-02	-4.51981001e-02
0.0435          	4.69122555e-02	-6.21381463e-21	-9.79847042e-02	-4.17542106e-21	-3.90833079e-03	-7.10367702e-23	2.34561277e-02	2.34561277e-02	-3.17794409e-21	-3.03587055e-21	-5.29006829e-02	-4.50840213e-02
0.044           	4.69104714e-02	-6.20696371e-21	-9.76807399e-02	-4.17285745e-21	-3.88450447e-03	-7.10910037e-23	2.34552357e-02	2.34552357e-02	-3.17457286e-21	-3.03239085e-21	-5.27248744e-02	-4.49558655e-02
0.0445          	4.69090005e-02	-6.20060350e-21	-9.72974218e-02	-4.17154120e-21	-3.86055483e-03	-7.12140581e-23	2.34545002e-02	2.34545002e-02	-3.17151581e-21	-3.02908769e-21	-5.25092657e-02	-4.47881561e-02
0.045           	4.69073931e-02	-6.18821873e-21	-9.68905047e-02	-4.16560122e-21	-3.83622463e-03	-7.12162415e-23	2.34536965e-02	2.34536965e-02	-3.16532560e-21	-3.02289312e-21	-5.22814770e-02	-4.46090277e-02
0.0455          	4.69058836e-02	-6.17907152e-21	-9.63031352e-02	-4.16415882e-21	-3.81140116e-03	-7.14240435e-23	2.34529418e-02	2.34529418e-02	-3.16095980e-21	-3.01811172e-21	-5.19629688e-02	-4.43401665e-02
0.046           	4.69046420e-02	-6.16914910e-21	-9.58003271e-02	-4.16121204e-21	-3.78601725e-03	-7.15528723e-23	2.34523210e-02	2.34523210e-02	-3.15612742e-21	-3.01302168e-21	-5.16861808e-02	-4.41141463e-02
0.0465          	4.69031601e-02	-6.16128376e-21	-9.57288463e-02	-4.15545508e-21	-3.76070376e-03	-7.14162278e-23	2.34515800e-02	2.34515800e-02	-3.15205811e-21	-3.00922565e-21	-5.16251269e-02	-4.41037194e-02
0.047           	4.69016940e-02	-6.15427504e-21	-9.52004042e-02	-4.15513931e-21	-3.73569172e-03	-7.16302682e-23	2.34508470e-02	2.34508470e-02	-3.14876779e-21	-3.00550725e-21	-5.13358938e-02	-4.38645104e-02
0.0475          	4.69001512e-02	-6.14975912e-21	-9.46469036e-02	-4.15724526e-21	-3.71027342e-03	-7.19229727e-23	2.34500756e-02	2.34500756e-02	-3.14680253e-21	-3.00295659e-21	-5.10337252e-02	-4.36131784e-02
0.048           	4.68984176e-02	-6.14141363e-21	-9.43514683e-02	-4.15344908e-21	-3.68457946e-03	-7.19379602e-23	2.34492088e-02	2.34492088e-02	-3.14264477e-21	-2.99876885e-21	-5.08603136e-02	-4.34911547e-02
0.0485          	4.68965652e-02	-6.12918271e-21	-9.37941974e-02	-4.14920898e-21	-3.65879200e-03	-7.20537254e-23	2.34482826e-02	2.34482826e-02	-3.13664508e-21	-2.99253763e-21	-5.05558907e-02	-4.32383067e-02
