# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 4.47575700e-03
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.022           	3.24153538e+00	1.51505625e-20	-1.00224659e+00	2.50258091e-21	-7.27952926e-03	2.57325957e-21	1.62076769e+00	1.62076769e+00	1.01485408e-20	5.00202168e-21	-5.08402826e-01	-4.93843767e-01
0.0225          	3.24049080e+00	1.51161307e-20	-1.00277605e+00	2.50218161e-21	-7.21493008e-03	2.57238466e-21	1.62024540e+00	1.62024540e+00	1.01304500e-20	4.98568067e-21	-5.08602953e-01	-4.94173093e-01
0.023           	3.24125865e+00	1.51516252e-20	-1.00375964e+00	2.50133321e-21	-7.14942655e-03	2.57914446e-21	1.62062932e+00	1.62062932e+00	1.01549571e-20	4.99666816e-21	-5.09029246e-01	-4.94730393e-01
0.0235          	3.24203581e+00	1.51507772e-20	-1.00421998e+00	2.50146733e-21	-7.08374099e-03	2.58259538e-21	1.62101791e+00	1.62101791e+00	1.01579840e-20	4.99279323e-21	-5.09193731e-01	-4.95026249e-01
0.024           	3.24283927e+00	1.51438822e-20	-1.00575342e+00	2.50408274e-21	-7.01680206e-03	2.58691476e-21	1.62141963e+00	1.62141963e+00	1.01588559e-20	4.98502636e-21	-5.09893512e-01	-4.95859908e-01
0.0245          	3.24236512e+00	1.51293624e-20	-1.00538120e+00	2.50141748e-21	-6.94939622e-03	2.58701402e-21	1.62118256e+00	1.62118256e+00	1.01516952e-20	4.97766718e-21	-5.09639994e-01	-4.95741202e-01
0.025           	3.24375199e+00	1.51371908e-20	-1.00573960e+00	2.50107390e-21	-6.88158975e-03	2.59218164e-21	1.62187599e+00	1.62187599e+00	1.01607771e-20	4.97641378e-21	-5.09751391e-01	-4.95988211e-01
0.0255          	3.24497684e+00	1.51504925e-20	-1.00575864e+00	2.49987680e-21	-6.81312886e-03	2.59662097e-21	1.62248842e+00	1.62248842e+00	1.01718672e-20	4.97862528e-21	-5.09692448e-01	-4.96066190e-01
0.026           	3.24451139e+00	1.51265295e-20	-1.00611671e+00	2.49972269e-21	-6.74359652e-03	2.59683776e-21	1.62225570e+00	1.62225570e+00	1.01601025e-20	4.96642700e-21	-5.09801954e-01	-4.96314761e-01
0.0265          	3.24529879e+00	1.51291350e-20	-1.00644553e+00	2.49900208e-21	-6.67374807e-03	2.60065983e-21	1.62264940e+00	1.62264940e+00	1.01652273e-20	4.96390766e-21	-5.09896511e-01	-4.96549014e-01
0.027           	3.24521054e+00	1.51214219e-20	-1.00698341e+00	2.49898476e-21	-6.60344790e-03	2.60261704e-21	1.62260527e+00	1.62260527e+00	1.01633280e-20	4.95809389e-21	-5.10095152e-01	-4.96888256e-01
0.0275          	3.24565009e+00	1.51200094e-20	-1.00709941e+00	2.49781656e-21	-6.53267417e-03	2.60563896e-21	1.62282505e+00	1.62282505e+00	1.01656437e-20	4.95436574e-21	-5.10082379e-01	-4.97017031e-01
0.028           	3.24657639e+00	1.51175886e-20	-1.00647125e+00	2.49552084e-21	-6.46175363e-03	2.60785836e-21	1.62328819e+00	1.62328819e+00	1.01666527e-20	4.95093596e-21	-5.09697380e-01	-4.96773872e-01
0.0285          	3.24677315e+00	1.51166218e-20	-1.00630991e+00	2.49361933e-21	-6.39002807e-03	2.60966075e-21	1.62338658e+00	1.62338658e+00	1.01679717e-20	4.94865017e-21	-5.09544983e-01	-4.96764927e-01
0.029           	3.24826242e+00	1.51224005e-20	-1.00620617e+00	2.49277579e-21	-6.31752469e-03	2.61414403e-21	1.62413121e+00	1.62413121e+00	1.01753443e-20	4.94705624e-21	-5.09420609e-01	-4.96785560e-01
0.0295          	3.24802961e+00	1.51099234e-20	-1.00469297e+00	2.48787376e-21	-6.24451396e-03	2.61304518e-21	1.62401481e+00	1.62401481e+00	1.01680069e-20	4.94191650e-21	-5.08590997e-01	-4.96101969e-01
0.03            	3.24774465e+00	1.50954146e-20	-1.00595236e+00	2.48933204e-21	-6.17073796e-03	2.61547294e-21	1.62387233e+00	1.62387233e+00	1.01631803e-20	4.93223438e-21	-5.09146920e-01	-4.96805444e-01
0.0305          	3.24846700e+00	1.50964954e-20	-1.00596867e+00	2.48825355e-21	-6.09638933e-03	2.61835341e-21	1.62423350e+00	1.62423350e+00	1.01666011e-20	4.92989429e-21	-5.09080727e-01	-4.96887948e-01
0.031           	3.24910686e+00	1.51073774e-20	-1.00363731e+00	2.48158083e-21	-6.02162206e-03	2.61925702e-21	1.62455343e+00	1.62455343e+00	1.01729457e-20	4.93443166e-21	-5.07840278e-01	-4.95797034e-01
0.0315          	3.24889165e+00	1.50974528e-20	-1.00290115e+00	2.47763512e-21	-5.94614495e-03	2.61986743e-21	1.62444583e+00	1.62444583e+00	1.01685938e-20	4.92885896e-21	-5.07396721e-01	-4.95504431e-01
0.032           	3.24943794e+00	1.50955910e-20	-1.00350977e+00	2.47794969e-21	-5.87026799e-03	2.62337045e-21	1.62471897e+00	1.62471897e+00	1.01711659e-20	4.92442502e-21	-5.07625154e-01	-4.95884618e-01
0.0325          	3.24978526e+00	1.50949932e-20	-1.00208573e+00	2.47318001e-21	-5.79418294e-03	2.62431471e-21	1.62489263e+00	1.62489263e+00	1.01718113e-20	4.92318191e-21	-5.06837048e-01	-4.95248682e-01
0.033           	3.25119647e+00	1.51094252e-20	-1.00098362e+00	2.47024869e-21	-5.71775381e-03	2.62734921e-21	1.62559823e+00	1.62559823e+00	1.01820618e-20	4.92736341e-21	-5.06209561e-01	-4.94774054e-01
0.0335          	3.25019243e+00	1.50832421e-20	-1.00015884e+00	2.46643673e-21	-5.64074609e-03	2.62523460e-21	1.62509621e+00	1.62509621e+00	1.01668557e-20	4.91638646e-21	-5.05720168e-01	-4.94438675e-01
0.034           	3.25040849e+00	1.50734199e-20	-9.99804408e-01	2.46452747e-21	-5.56329018e-03	2.62635147e-21	1.62520425e+00	1.62520425e+00	1.01630614e-20	4.91035850e-21	-5.05465494e-01	-4.94338914e-01
0.0345          	3.25103021e+00	1.50755287e-20	-9.98068747e-01	2.45944364e-21	-5.48553483e-03	2.62730804e-21	1.62551511e+00	1.62551511e+00	1.01650724e-20	4.91045629e-21	-5.04519908e-01	-4.93548839e-01
0.035           	3.25142227e+00	1.51010088e-20	-9.96113913e-01	2.45292186e-21	-5.40712320e-03	2.62908934e-21	1.62571113e+00	1.62571113e+00	1.01795937e-20	4.92141504e-21	-5.03464080e-01	-4.92649833e-01
0.0355          	3.25115652e+00	1.50654306e-20	-9.95639452e-01	2.45146107e-21	-5.32822865e-03	2.62780652e-21	1.62557826e+00	1.62557826e+00	1.01605218e-20	4.90490880e-21	-5.03147955e-01	-4.92491497e-01
0.036           	3.25213506e+00	1.50674791e-20	-9.94460741e-01	2.44768420e-21	-5.24893472e-03	2.63054727e-21	1.62606753e+00	1.62606753e+00	1.01642868e-20	4.90319226e-21	-5.02479305e-01	-4.91981436e-01
0.0365          	3.25187115e+00	1.50626805e-20	-9.93290727e-01	2.44368293e-21	-5.16923486e-03	2.62949404e-21	1.62593557e+00	1.62593557e+00	1.01608343e-20	4.90184619e-21	-5.01814598e-01	-4.91476129e-01
0.037           	3.25175655e+00	1.50607606e-20	-9.90898696e-01	2.43630788e-21	-5.08934502e-03	2.62883573e-21	1.62587828e+00	1.62587828e+00	1.01592160e-20	4.90154455e-21	-5.00538693e-01	-4.90360003e-01
0.0375          	3.25290947e+00	1.50717116e-20	-9.89142589e-01	2.43127337e-21	-5.00898131e-03	2.63081800e-21	1.62645474e+00	1.62645474e+00	1.01666738e-20	4.90503779e-21	-4.99580276e-01	-4.89562313e-01
0.038           	3.25266851e+00	1.50479057e-20	-9.87314550e-01	2.42621353e-21	-4.92863436e-03	2.62899163e-21	1.62633425e+00	1.62633425e+00	1.01529445e-20	4.89496123e-21	-4.98585909e-01	-4.88728641e-01
0.0385          	3.25182506e+00	1.50403719e-20	-9.84918854e-01	2.41843789e-21	-4.84748173e-03	2.62672769e-21	1.62591253e+00	1.62591253e+00	1.01469136e-20	4.89345825e-21	-4.97306909e-01	-4.87611945e-01
0.039           	3.25271173e+00	1.50364037e-20	-9.83369061e-01	2.41428484e-21	-4.76585950e-03	2.62806989e-21	1.62635587e+00	1.62635587e+00	1.01462717e-20	4.89013194e-21	-4.96450390e-01	-4.86918671e-01
0.0395          	3.25315330e+00	1.50291064e-20	-9.81413318e-01	2.40911699e-21	-4.68397292e-03	2.62765776e-21	1.62657665e+00	1.62657665e+00	1.01422110e-20	4.88689544e-21	-4.95390632e-01	-4.86022686e-01
0.04            	3.25346308e+00	1.50384274e-20	-9.79438442e-01	2.40299064e-21	-4.60150611e-03	2.62822683e-21	1.62673154e+00	1.62673154e+00	1.01474405e-20	4.89098690e-21	-4.94320727e-01	-4.85117715e-01
0.0405          	3.25299146e+00	1.50389951e-20	-9.76062646e-01	2.39341701e-21	-4.51866361e-03	2.62537158e-21	1.62649573e+00	1.62649573e+00	1.01448691e-20	4.89412595e-21	-4.92549987e-01	-4.83512659e-01
0.041           	3.25389963e+00	1.50363896e-20	-9.74453934e-01	2.38907086e-21	-4.43524571e-03	2.62685442e-21	1.62694981e+00	1.62694981e+00	1.01450492e-20	4.89134036e-21	-4.91662213e-01	-4.82791721e-01
0.0415          	3.25403832e+00	1.50363106e-20	-9.71600197e-01	2.38130790e-21	-4.35185136e-03	2.62541946e-21	1.62701916e+00	1.62701916e+00	1.01435748e-20	4.89273584e-21	-4.90151950e-01	-4.81448247e-01
0.042           	3.25451279e+00	1.50371122e-20	-9.68935924e-01	2.37431377e-21	-4.26802535e-03	2.62475845e-21	1.62725639e+00	1.62725639e+00	1.01433146e-20	4.89379767e-21	-4.88735987e-01	-4.80199936e-01
0.0425          	3.25461932e+00	1.50159372e-20	-9.67516176e-01	2.36984849e-21	-4.18326402e-03	2.62440899e-21	1.62730966e+00	1.62730966e+00	1.01323776e-20	4.88355962e-21	-4.87941352e-01	-4.79574824e-01
0.043           	3.25412775e+00	1.50057342e-20	-9.63781155e-01	2.36009266e-21	-4.09861874e-03	2.62005038e-21	1.62706387e+00	1.62706387e+00	1.01229175e-20	4.88281675e-21	-4.85989196e-01	-4.77791959e-01
0.0435          	3.25328247e+00	1.50100654e-20	-9.62045612e-01	2.35318041e-21	-4.01346481e-03	2.61969077e-21	1.62664124e+00	1.62664124e+00	1.01247235e-20	4.88534192e-21	-4.85036271e-01	-4.77009341e-01
0.044           	3.25418257e+00	1.50056453e-20	-9.59698761e-01	2.34760605e-21	-3.92787320e-03	2.61945719e-21	1.62709128e+00	1.62709128e+00	1.01222799e-20	4.88336548e-21	-4.83777254e-01	-4.75921507e-01
0.0445          	3.25454268e+00	1.50078498e-20	-9.56696401e-01	2.33962372e-21	-3.84239195e-03	2.61838553e-21	1.62727134e+00	1.62727134e+00	1.01223104e-20	4.88553935e-21	-4.82190593e-01	-4.74505809e-01
0.045           	3.25388796e+00	1.49845508e-20	-9.53430675e-01	2.33100458e-21	-3.75643377e-03	2.61415763e-21	1.62694398e+00	1.62694398e+00	1.01064330e-20	4.87811775e-21	-4.80471771e-01	-4.72958904e-01
0.0455          	3.25440059e+00	1.49923491e-20	-9.48449023e-01	2.31826763e-21	-3.67028618e-03	2.61125697e-21	1.62720029e+00	1.62720029e+00	1.01074315e-20	4.88491757e-21	-4.77894798e-01	-4.70554225e-01
0.046           	3.25440699e+00	1.49892344e-20	-9.44243844e-01	2.30750462e-21	-3.58394454e-03	2.60779043e-21	1.62720350e+00	1.62720350e+00	1.01024076e-20	4.88682678e-21	-4.75705866e-01	-4.68537977e-01
0.0465          	3.25439066e+00	1.49584150e-20	-9.44242110e-01	2.30704617e-21	-3.49688260e-03	2.60793753e-21	1.62719533e+00	1.62719533e+00	1.00871450e-20	4.87126995e-21	-4.75617938e-01	-4.68624173e-01
