# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 4.47575700e-03
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0475          	3.25433944e+00	1.40556868e-20	-9.35257172e-01	2.39124572e-21	-3.32258222e-03	4.40364670e-21	1.62716972e+00	1.62716972e+00	1.14314901e-20	2.62419669e-21	-4.70951168e-01	-4.64306004e-01
0.048           	3.25380079e+00	1.40321734e-20	-9.32972064e-01	2.38340165e-21	-3.23497909e-03	4.39825534e-21	1.62690039e+00	1.62690039e+00	1.14143420e-20	2.61783137e-21	-4.69721011e-01	-4.63251053e-01
0.0485          	3.25375176e+00	1.40144915e-20	-9.28237455e-01	2.37033425e-21	-3.14640225e-03	4.39059763e-21	1.62687588e+00	1.62687588e+00	1.13978434e-20	2.61664814e-21	-4.67265130e-01	-4.60972325e-01
0.049           	3.25403881e+00	1.40124878e-20	-9.26012182e-01	2.36451904e-21	-3.05771780e-03	4.38745692e-21	1.62701941e+00	1.62701941e+00	1.13937008e-20	2.61878701e-21	-4.66063809e-01	-4.59948373e-01
0.0495          	3.25344000e+00	1.39930317e-20	-9.21337991e-01	2.35060053e-21	-2.96914816e-03	4.37909206e-21	1.62672000e+00	1.62672000e+00	1.13756079e-20	2.61742378e-21	-4.63638144e-01	-4.57699847e-01
0.05            	3.25341748e+00	1.40022788e-20	-9.18965950e-01	2.34410504e-21	-2.88041931e-03	4.37624353e-21	1.62670874e+00	1.62670874e+00	1.13773829e-20	2.62489585e-21	-4.62363394e-01	-4.56602556e-01
0.0505          	3.25346143e+00	1.39868057e-20	-9.13520183e-01	2.33013941e-21	-2.79164920e-03	4.36726726e-21	1.62673071e+00	1.62673071e+00	1.13606701e-20	2.62613558e-21	-4.59551741e-01	-4.53968442e-01
0.051           	3.25339309e+00	1.39656522e-20	-9.09608352e-01	2.31896028e-21	-2.70267319e-03	4.36073287e-21	1.62669655e+00	1.62669655e+00	1.13435590e-20	2.62209325e-21	-4.57506849e-01	-4.52101503e-01
0.0515          	3.25341779e+00	1.39551451e-20	-9.05917249e-01	2.30881789e-21	-2.61306843e-03	4.35505322e-21	1.62670889e+00	1.62670889e+00	1.13326258e-20	2.62251933e-21	-4.55571693e-01	-4.50345556e-01
0.052           	3.25355769e+00	1.39661872e-20	-9.01061830e-01	2.29760269e-21	-2.52353405e-03	4.34823962e-21	1.62677884e+00	1.62677884e+00	1.13313332e-20	2.63485400e-21	-4.53054449e-01	-4.48007381e-01
0.0525          	3.25303934e+00	1.39497605e-20	-8.96549542e-01	2.28442960e-21	-2.43379273e-03	4.34056634e-21	1.62651967e+00	1.62651967e+00	1.13154466e-20	2.63431391e-21	-4.50708564e-01	-4.45840978e-01
